id,Title,Date,Permalink,"Research Topics","Press Types",Categories
3334,"LIGO Team Announces Second Gravitational-Wave Event",06/30/2016,https://ciera.northwestern.edu/2016/06/30/ligo-team-announces-second-gravitational-wave-event/,"Gravitational Waves &amp; Multi-Messenger Astronomy","CIERA Stories|External Press|Northwestern Press",Event|Science
3336,"‘Mosh Pits’ in Star Clusters a Likely Source of LIGO’s First Black Holes",06/29/2016,https://ciera.northwestern.edu/2016/06/29/mosh-pits-in-star-clusters-a-likely-source-of-ligos-first-black-holes/,"Black Holes &amp; Dead Stars|Gravitational Waves &amp; Multi-Messenger Astronomy","CIERA Stories|External Press|Northwestern Press",Science
3338,"Jian Cao Receives Manufacturing Medal",06/27/2016,https://ciera.northwestern.edu/2016/06/27/jian-cao-receives-manufacturing-medal/,,"CIERA Stories|Northwestern Press",Achievement
3339,"Graduate Students Participate in High School Research Project Showcase",06/24/2016,https://ciera.northwestern.edu/2016/06/24/graduate-students-participate-in-high-school-research-project-showcase/,,"CIERA Stories",Education|Event|Outreach
3343,"CIERA’s Farhad Yusef-Zadeh Leads Discussion of Milky Way Core at Science Café",06/01/2016,https://ciera.northwestern.edu/2016/06/01/cieras-farhad-yusef-zadeh-leads-discussion-of-milky-way-core-at-science-cafe/,"Galaxies &amp; Cosmology","CIERA Stories",Education|Event
3345,"CIERA Researchers Help Build a Far-Infrared Camera for SOFIA",05/29/2016,https://ciera.northwestern.edu/2016/05/29/ciera-researchers-help-build-a-far-infrared-camera-for-sofia/,"Exoplanets &amp; The Solar System|Life &amp; Death of Stars","CIERA Stories",Achievement|Science
3376,"Paper by CIERA Postdoc Emily Leiner Highlighted on AAS Nova Site",01/28/2019,https://ciera.northwestern.edu/2019/01/28/paper-by-ciera-postdoc-emily-leiner-highlighted-on-aas-nova-site/,"Stellar Dynamics &amp; Stellar Populations","External Press",Achievement|Science
3398,"CIERA Director Vicky Kalogera Speaks at (En)Lightning Talks Chicago",05/20/2016,https://ciera.northwestern.edu/2016/05/20/ciera-director-vicky-kalogera-speaks-at-enlightning-talks-chicago/,,"CIERA Stories|External Press",Event|Outreach
3400,"Graduate Student Makes Cosmic Music",05/25/2016,https://ciera.northwestern.edu/2016/05/25/graduate-student-makes-cosmic-music/,,"CIERA Stories",Event|Interdisciplinary|Outreach
3410,"Katrin Heitmann Explores the Dark Universe at CIERA Interdisciplinary Colloquium",01/15/2019,https://ciera.northwestern.edu/2019/01/15/katrin-heitmann-explores-the-dark-universe-at-ciera-interdisciplinary-colloquium/,"Galaxies &amp; Cosmology","CIERA Stories",Event|Interdisciplinary
3415,"Total Lunar Eclipse Captivates on Frigid Night",01/20/2019,https://ciera.northwestern.edu/2019/01/20/total-lunar-eclipse-captivates-on-frigid-night/,,"CIERA Stories",Event|Outreach
3421,"Y.O.U. Students Enjoy Astronomy Visit",01/22/2019,https://ciera.northwestern.edu/2019/01/22/y-o-u-students-enjoy-astronomy-visit/,,"CIERA Stories",Education|Outreach
3426,"IDEAS Visits Capitol Hill: Attends Future STEM Leaders Conference",05/20/2016,https://ciera.northwestern.edu/2016/05/20/ideas-visits-capitol-hill-attends-future-stem-leaders-conference/,,"CIERA Stories","Data Science &amp; Computing|Education|Event|Outreach"
3428,"Enthusiasm for Mercury Transit Despite Cloudy Skies",05/19/2016,https://ciera.northwestern.edu/2016/05/19/enthusiasm-for-mercury-transit-despite-cloudy-skies/,,"CIERA Stories",Education|Event|Outreach
3442,"Northwestern Hosts Regional Conference for Women in Physics",01/21/2019,https://ciera.northwestern.edu/2019/01/21/northwestern-hosts-regional-conference-for-women-in-physics/,,"CIERA Stories",Event|Interdisciplinary
3452,"CIERA Demonstrates the Beauty of Art and Science at the First Annual STEM-CON",05/10/2016,https://ciera.northwestern.edu/2016/05/10/ciera-demonstrates-the-beauty-of-art-and-science-at-the-first-annual-stem-con/,,"CIERA Stories",Education|Event|Interdisciplinary
3458,"CIERA Researcher Brings The Galaxy to the Classroom",05/06/2016,https://ciera.northwestern.edu/2016/05/06/ciera-researcher-brings-the-galaxy-to-the-classroom/,,"CIERA Stories",Education|Event|Outreach
3460,"Major Prizes for LIGO Founders and 1,012 Contributors to Gravitational-Wave Discovery",05/01/2016,https://ciera.northwestern.edu/2016/05/01/major-prizes-for-ligo-founders-and-1012-contributors-to-gravitational-wave-discovery/,"Gravitational Waves &amp; Multi-Messenger Astronomy","CIERA Stories",Science
3507,"CIERA Astronomers Use Machine Learning to Classify 1.5 Billion Astronomical Sources",02/07/2019,https://ciera.northwestern.edu/2019/02/07/ciera-astronomers-use-machine-learning-to-classify-1-5-billion-astronomical-sources/,"Life &amp; Death of Stars","External Press","Data Science &amp; Computing|Interdisciplinary|Science"
3529,"Ripples in Spacetime at Take Our Daughters & Sons to Work Day",04/30/2016,https://ciera.northwestern.edu/2016/04/30/ripples-in-spacetime-at-take-our-daughters-sons-to-work-day/,,"CIERA Stories",Education|Event|Outreach
